UserID,PathID,PathPointID,YYC_X,YYC_Y,DistanceToNextPoint,MinutesToNextPoint
125,0,0,-9437.2799643847793,5659909.04732949,6.904978622312352155723007550,11.8333333333333
125,0,1,-9443.6661937625995,5659911.67312539,6.904978622312352155723007550,16.8
125,0,2,-9437.2799643847793,5659909.04732949,0,0
125,1,0,-9428.0520891129709,5659893.00093837,8.612620149031196698357140724,11.1833333333333
125,1,1,-9436.1932077258607,5659890.19034883,8.612620149031196698357140724,17.2666666666667
125,1,2,-9428.0520891129709,5659893.00093837,0,0
125,2,0,-9419.9039716911902,5659895.81152796,21.044835645998956135460805428,10.8166666666667
125,2,1,-9440.8106361367809,5659898.21911786,13.784408559986448283527803254,12.5
125,2,2,-9428.0520891129709,5659893.00093837,8.619236124074019697824524616,15.8166666666667
125,2,3,-9419.9039716911902,5659895.81152796,27.575283438965140351566857324,4.45
125,2,4,-9445.4280501332105,5659906.24789114,0,0
125,3,0,-9428.0520891129709,5659893.00093837,9.261843986204433799906544962,8.98333333333333
125,3,1,-9432.66952763074,5659901.02970014,9.261843986204433799906544962,9.5
125,3,2,-9428.0520891129709,5659893.00093837,0,0
125,4,0,-9428.0520891129709,5659893.00093837,11.397714381835919659240680148,9.06666666666667
125,4,1,-9431.5757649004699,5659882.16158405,13.742834090211562785841419454,3
125,4,2,-9434.4313760084297,5659895.60446224,0,0
125,5,0,-9434.4313760084297,5659895.60446224,6.8943008199794236348704985905,14.5333333333333
125,5,1,-9440.8106361367809,5659898.21911786,6.8943008199794236348704985905,19.55
125,5,2,-9434.4313760084297,5659895.60446224,0,0
125,6,0,-9434.4313760084297,5659895.60446224,6.8901115982422339557586234145,9.78333333333333
125,6,1,-9428.0520891129709,5659893.00093837,8.619236124074019697824524616,18.2833333333333
125,6,2,-9419.9039716911902,5659895.81152796,0,0
125,7,0,-9428.0520891129709,5659893.00093837,8.612620149031196698357140724,9.96666666666667
125,7,1,-9436.1932077258607,5659890.19034883,11.397712851021846194296051196,12.7333333333333
125,7,2,-9432.66952763074,5659901.02970014,9.261843986204433799906544962,15.2833333333333
125,7,3,-9428.0520891129709,5659893.00093837,0,0
125,8,0,-9419.9039716911902,5659895.81152796,14.528879943373060358069240954,4.4
125,8,1,-9434.4313760084297,5659895.60446224,14.528879943373060358069240954,6.56666666666667
125,8,2,-9419.9039716911902,5659895.81152796,0,0
